trans_id,translation,lang
HIPPOD. BOITSFORT,Hippodrome de Boitsfort,fr
HIPPOD. BOITSFORT,Renbaan van Bosvoorde,nl
HIPPODROME,Hippodrome,fr
HIPPODROME,Hippodroom,nl
HOEDEMAEKERS,Hoedemaekers,fr
HOEDEMAEKERS,Hoedemaekers,nl
HOF TEN BERG,Hof ten Berg,fr
HOF TEN BERG,Hof ten Berg,nl
HOF TER MUSSCHEN,Hof ter Musschen,fr
HOF TER MUSSCHEN,Hof ter Musschen,nl
HOMBORCH,Homborch,fr
HOMBORCH,Homborch,nl
HOOGBOSCH,Hoogbosch,fr
HOOGBOSCH,Hoogbosch,nl
HOOGVELD,Hoogveld,fr
HOOGVELD,Hoogveld,nl
HOP. DES ENFANTS,Hôpital des Enfants,fr
HOP. DES ENFANTS,Kinderziekenhuis,nl
HOP. ETT.-IXELLES,Hôpital Etterbeek-Ixelles,fr
HOP. ETT.-IXELLES,Ziekenhuis Etterbeek-Elsene,nl
HOP. MILITAIRE,Hôpital Militaire,fr
HOP. MILITAIRE,Militair Hospitaal,nl
HOP. PAUL BRIEN,Hôpital Paul Brien,fr
HOP. PAUL BRIEN,Paul Brien-ziekenhuis,nl
HOP. SAINT-PIERRE,Hôpital Saint-Pierre,fr
HOP. SAINT-PIERRE,Sint-Pieters-ziekenhuis,nl
HOP.STE-ELISABETH,Hôpital Sainte-Élisabeth,fr
HOP.STE-ELISABETH,Sint-Elizabeth-ziekenhuis,nl
HOPITAL BRACOPS,Hôpital Joseph Bracops,fr
HOPITAL BRACOPS,Joseph Bracops-ziekenhuis,nl
HOPITAL BRUGMANN,Hôpital Brugmann,fr
HOPITAL BRUGMANN,Brugmann-ziekenhuis,nl
HORTA,Horta,fr
HORTA,Horta,nl
HOSPICES,Hospices,fr
HOSPICES,Godshuizen,nl
HOTEL DES MONNAIES,Hôtel des Monnaies,fr
HOTEL DES MONNAIES,Munthof,nl
HOUBA-BRUGMANN,Houba-Brugmann,fr
HOUBA-BRUGMANN,Houba-Brugmann,nl
HOUWAERT,Houwaert,fr
HOUWAERT,Houwaert,nl
HOUZEAU,Houzeau,fr
HOUZEAU,Houzeau,nl
HUART-HAMOIR,Huart-Hamoir,fr
HUART-HAMOIR,Huart-Hamoir,nl
HUIT HEURES,Huit Heures,fr
HUIT HEURES,Acht Uren,nl
HUMANITE,Humanité,fr
HUMANITE,Humaniteit,nl
HUNDERENVELD,Hunderenveld,fr
HUNDERENVELD,Hunderenveld,nl
HYMANS,Hymans,fr
HYMANS,Hymans,nl
ICHEC,ICHEC,fr
ICHEC,ICHEC,nl
IDALIE,Idalie,fr
IDALIE,Idalie,nl
ILE SAINTE-HELENE,Île Sainte-Hélène,fr
ILE SAINTE-HELENE,Eiland Sint-Helena,nl
IMPRIMERIE,Imprimerie,fr
IMPRIMERIE,Drukkerij,nl
INTERNAT. SCHOOL,International School,fr
INTERNAT. SCHOOL,International School,nl
INTERNATIONAL,Boulevard International,fr
INTERNATIONAL,Internationalelaan,nl
INVALIDES,Invalides,fr
INVALIDES,Invaliden,nl
JACOBS FONTAINE,Jacobs Fontaine,fr
JACOBS FONTAINE,Jacobs Fontaine,nl
JACQUES BREL,Jacques Brel,fr
JACQUES BREL,Jacques Brel,nl
JAKOB SMITS,Jakob Smits,fr
JAKOB SMITS,Jakob Smits,nl
JAMBLINNE DE MEUX,de Jamblinne de Meux,fr
JAMBLINNE DE MEUX,de Jamblinne de Meux,nl
JANSON,Janson,fr
JANSON,Janson,nl
JARDIN MASSART,Jardin Massart,fr
JARDIN MASSART,Massarttuin,nl
JEANNE,Jeanne,fr
JEANNE,Johanna,nl
JEANNE HERREMAN,Jeanne Herreman,fr
JEANNE HERREMAN,Jeanne Herreman,nl
JESPERS,Jespers,fr
JESPERS,Jespers,nl
JEU DE BALLE,Jeu de Balle,fr
JEU DE BALLE,Vossenplein,nl
JORDAEN,Jordaen,fr
JORDAEN,Jordaen,nl
JOSAPHAT,Josaphat,fr
JOSAPHAT,Josaphat,nl
JOSEPH BAECK,Joseph Baeck,fr
JOSEPH BAECK,Joseph Baeck,nl
JOSEPH.-CHARLOTTE,Joséphine-Charlotte,fr
JOSEPH.-CHARLOTTE,Joséphine-Charlotte,nl
JOURDAN,Jourdan,fr
JOURDAN,Jourdan,nl
JUBILE,Jubilé,fr
JUBILE,Jubelfeest,nl
JULES BORDET,Jules Bordet,fr
JULES BORDET,Jules Bordet,nl
JULES CESAR,Jules César,fr
JULES CESAR,Julius Cesar,nl
JULES DE TROOZ,Jules De Trooz,fr
JULES DE TROOZ,Jules De Trooz,nl
JUPITER,Jupiter,fr
JUPITER,Jupiter,nl
KAREL BOGAERD,Karel Bogaerd,fr
KAREL BOGAERD,Karel Bogaerd,nl
KARREVELD,Karreveld,fr
KARREVELD,Karreveld,nl
KASTEEL BEAULIEU,Kasteel Beaulieu,fr
KASTEEL BEAULIEU,Kasteel Beaulieu,nl
KATTENBERG,Kattenberg,fr
KATTENBERG,Kattenberg,nl
KELLE,Kelle,fr
KELLE,Kelle,nl
KERK MACHELEN,Kerk Machelen,fr
KERK MACHELEN,Kerk Machelen,nl
KERK RUISBROEK,Kerk Ruisbroek,fr
KERK RUISBROEK,Kerk Ruisbroek,nl
KERK VILVOORDE,Kerk Vilvoorde,fr
KERK VILVOORDE,Kerk Vilvoorde,nl
KEYENBEMPT,Keyenbempt,fr
KEYENBEMPT,Keyenbempt,nl
KEYM,Keym,fr
KEYM,Keym,nl
KLAKKEDELLE,Klakkedelle,fr
KLAKKEDELLE,Klakkedelle,nl
KONINGIN FABIOLA,Koningin Fabiola,fr
KONINGIN FABIOLA,Koningin Fabiola,nl
KONKEL,Konkel,fr
KONKEL,Konkel,nl
KRAAINEM,Kraainem,fr
KRAAINEM,Kraainem,nl
KRAAINEM-SHOPPING,Kraainem-Shopping,fr
KRAAINEM-SHOPPING,Kraainem-Shopping,nl
KRUIPWEG,Kruipweg,fr
KRUIPWEG,Kruipweg,nl
KURTH,Kurth,fr
KURTH,Kurth,nl
LA CHASSE,La Chasse,fr
LA CHASSE,De Jacht,nl
LA ROUE,La Roue,fr
LA ROUE,Het Rad,nl
LABEUR,Labeur,fr
LABEUR,Arbeid,nl
LAINE,Laîné,fr
LAINE,Laîné,nl
LANCASTER,Lancaster,fr
LANCASTER,Lancaster,nl
LANGEVELD,Langeveld,fr
LANGEVELD,Langeveld,nl
LATINIS,Latinis,fr
LATINIS,Latinis,nl
LE ROUX,Le Roux,fr
LE ROUX,Le Roux,nl
LEFRANCQ,Lefrancq,fr
LEFRANCQ,Lefrancq,nl
LEGRAND,Legrand,fr
LEGRAND,Legrand,nl
LEKAERTS,Lekaerts,fr
LEKAERTS,Lekaerts,nl
LEMAN,Leman,fr
LEMAN,Leman,nl
LEMONNIER,Lemonnier,fr
LEMONNIER,Lemonnier,nl
LENNEKE MARE,Lenneke Mare,fr
LENNEKE MARE,Lenneke Mare,nl
LENOIR,Lenoir,fr
LENOIR,Lenoir,nl
LEOPOLD I,Léopold I,fr
LEOPOLD I,Leopold I,nl
LEOPOLD II,Léopold II,fr
LEOPOLD II,Leopold II,nl
LEOPOLD III,Léopold III,fr
LEOPOLD III,Leopold III,nl
LEPOUTRE,Lepoutre,fr
LEPOUTRE,Lepoutre,nl
LEROY,Leroy,fr
LEROY,Leroy,nl
LES 3 TILLEULS,Les Trois Tilleuls,fr
LES 3 TILLEULS,Drie Linden,nl
LEVIE,Levie,fr
LEVIE,Levie,nl
LEVURE,Levure,fr
LEVURE,Gist,nl
LIBERTE,Liberté,fr
LIBERTE,Vrijheid,nl
LIEDTS,Liedts,fr
LIEDTS,Liedts,nl
LIVERPOOL,Liverpool,fr
LIVERPOOL,Liverpool,nl
LIVINGSTONE,Livingstone,fr
LIVINGSTONE,Livingstone,nl
LOISIRS,Loisirs,fr
LOISIRS,Vrijetijd,nl
LOMBARDIE,Lombardie,fr
LOMBARDIE,Lombardije,nl
LONDRES,Londres,fr
LONDRES,Londen,nl
LONG BONNIER,Long Bonnier,fr
LONG BONNIER,Lange Bunder,nl
LONG-CHENE,Long-Chêne,fr
LONG-CHENE,Lange Eik,nl
LONGCHAMP,Longchamp,fr
LONGCHAMP,Longchamp,nl
LORGE,Lorge,fr
LORGE,Lorge,nl
LOUIS BERTRAND,Louis Bertrand,fr
LOUIS BERTRAND,Louis Bertrand,nl
LOUIS HAP,Louis Hap,fr
LOUIS HAP,Louis Hap,nl
LOUIS MARCELIS,Louis Marcelis,fr
LOUIS MARCELIS,Louis Marcelis,nl
LOUISE,Louise,fr
LOUISE,Louiza,nl
LOUTRIER,Loutrier,fr
LOUTRIER,Ottervanger,nl
LOWET,Lowet,fr
LOWET,Lowet,nl
LOYAUTE,Loyauté,fr
LOYAUTE,Rechtschapenheid,nl
LUTHER,Luther,fr
LUTHER,Luther,nl
LUXEMBOURG,Luxembourg,fr
LUXEMBOURG,Luxemburg,nl
MA CAMPAGNE,Ma Campagne,fr
MA CAMPAGNE,Ma Campagne,nl
MABRU,Mabru,fr
MABRU,Mabru,nl
MACHELEN,Machelen,fr
MACHELEN,Machelen,nl
MACHTENS,Machtens,fr
MACHTENS,Machtens,nl
MADOU,Madou,fr
MADOU,Madou,nl
MADOUX,Madoux,fr
MADOUX,Madoux,nl
MAELBEEK,Maelbeek,fr
MAELBEEK,Maalbeek,nl
MAES,Maes,fr
MAES,Maes,nl
MAI,Mai,fr
MAI,Mei,nl
MAISON D'ERASME,Maison d'Erasme,fr
MAISON D'ERASME,Erasmushuis,nl
MALIBRAN,Malibran,fr
MALIBRAN,Malibran,nl
MANNEKEN-PIS,Manneken-Pis,fr
MANNEKEN-PIS,Manneken-Pis,nl
MANOIR D'ANJOU,Manoir d'Anjou,fr
MANOIR D'ANJOU,Manoir d'Anjou,nl
MARCEL THIRY,Marcel Thiry,fr
MARCEL THIRY,Marcel Thiry,nl
MAREYDE,Mareyde,fr
MAREYDE,Mareyde,nl
MARGUERITE,Marguerite,fr
MARGUERITE,Margareta,nl
MARICOLLES,Maricolles,fr
MARICOLLES,Maricollen,nl
MARIE-JOSE,Marie-José,fr
MARIE-JOSE,Marie-José,nl
MARIUS RENARD,Marius Renard,fr
MARIUS RENARD,Marius Renard,nl
MARLOW,Marlow,fr
MARLOW,Marlow,nl
MARLY,Marly,fr
MARLY,Marly,nl
MARMOTTE,Marmotte,fr
MARMOTTE,Marmot,nl
MASUI,Masui,fr
MASUI,Masui,nl
MATISSE,Matisse,fr
MATISSE,Matisse,nl
MAX WALLER,Max Waller,fr
MAX WALLER,Max Waller,nl
MAX-PLASKY,Max-Plasky,fr
MAX-PLASKY,Max-Plasky,nl
MEIR,Meir,fr
MEIR,Meir,nl
MEISER,Meiser,fr
MEISER,Meiser,nl
MELARD,Melard,fr
MELARD,Melard,nl
MENNEKENS,Mennekens,fr
MENNEKENS,Mennekens,nl
MERCATOR,Mercator,fr
MERCATOR,Mercator,nl
MERCHTEM,Merchtem,fr
MERCHTEM,Merchtem,nl
MERCURE,Mercure,fr
MERCURE,Mercurius,nl
MERIDIEN,Méridien,fr
MERIDIEN,Middaglijn,nl
MERLO,Merlo,fr
MERLO,Merlo,nl
MERODE,Merode,fr
MERODE,Merode,nl
MERTENS,Mertens,fr
MERTENS,Mertens,nl
MESSIDOR,Messidor,fr
MESSIDOR,Messidor,nl
MEUDON,Meudon,fr
MEUDON,Meudon,nl
MEYLEMEERSCH,Meylemeersch,fr
MEYLEMEERSCH,Meylemeersch,nl
MICHEL-ANGE,Michel-Ange,fr
MICHEL-ANGE,Michelangelo,nl
MICHIELS,Michiels,fr
MICHIELS,Michiels,nl
MIDDELWEG,Middelweg,fr
MIDDELWEG,Middelweg,nl
MINNEMOLEN,Minnemolen,fr
MINNEMOLEN,Minnemolen,nl
MIRAVAL,Miraval,fr
MIRAVAL,Miraval,nl
MIROIR,Miroir,fr
MIROIR,Spiegel,nl
MOENSBERG GARE,Moensberg Gare,fr
MOENSBERG GARE,Moensberg Station,nl
MOLIERE,Molière,fr
MOLIERE,Molière,nl
MOLIERE-LONGCHAMP,Molière-Longchamp,fr
MOLIERE-LONGCHAMP,Molière-Longchamp,nl
MOMMAERTS,Mommaerts,fr
MOMMAERTS,Mommaerts,nl
MONACO,Monaco,fr
MONACO,Monaco,nl
MONNOYER,Monnoyer,fr
MONNOYER,Monnoyer,nl
MONT KEMMEL,Mont Kemmel,fr
MONT KEMMEL,Kemmelberg,nl
MONTALD,Montald,fr
MONTALD,Montald,nl
MONTANA,Montana,fr
MONTANA,Montana,nl
MONTGOMERY,Montgomery,fr
MONTGOMERY,Montgomery,nl
MONTJOIE,Montjoie,fr
MONTJOIE,Montjoie,nl
MOONENS,Moonens,fr
MOONENS,Moonens,nl
MOORSLEDE,Moorslede,fr
MOORSLEDE,Moorslede,nl
MOORTEBEEK,Moortebeek,fr
MOORTEBEEK,Moortebeek,nl
MORIS,Moris,fr
MORIS,Moris,nl
MOSTINCK,Mostinck,fr
MOSTINCK,Mostinck,nl
MOUETTES,Mouettes,fr
MOUETTES,Meeuwen,nl
MOUNIER,Mounier,fr
MOUNIER,Mounier,nl
MOZART,Mozart,fr
MOZART,Mozart,nl
MUSEE D'IXELLES,Musée d'Ixelles,fr
MUSEE D'IXELLES,Museum van Elsene,nl
MUSEE DU TRAM,Musée du Tram,fr
MUSEE DU TRAM,Trammuseum,nl
MUSEUM,Museum,fr
MUSEUM,Museum,nl
MYSTERE,Mystère,fr
MYSTERE,Mysterie,nl
NAPOLEON,Napoléon,fr
NAPOLEON,Napoléon,nl
NATATION,Natation,fr
NATATION,Zwemkunst,nl
NEERPEDE,Neerpede,fr
NEERPEDE,Neerpede,nl
NEERSTALLE,Neerstalle,fr
NEERSTALLE,Neerstalle,nl
NEKKERSDAL,Nekkersdal,fr
NEKKERSDAL,Nekkersdal,nl
NEREUS,Nereus,fr
NEREUS,Nereus,nl
NERVIENS,Nerviens,fr
NERVIENS,Nerviërs,nl
NEUBERGER,Neuberger,fr
NEUBERGER,Neuberger,nl
NICOLAY,Nicolay,fr
NICOLAY,Nicolay,nl
NOTRE-DAME,Notre-Dame,fr
NOTRE-DAME,Onze-Lieve-Vrouw,nl
OBSERVATOIRE,Observatoire,fr
OBSERVATOIRE,Sterrenwacht,nl
OCEAN ATLANTIQUE,Océan Atlantique,fr
OCEAN ATLANTIQUE,Atlantische Oceaan,nl
ODON WARLAND,Odon Warland,fr
ODON WARLAND,Odon Warland,nl
ONZE NOVEMBRE,Onze Novembre,fr
ONZE NOVEMBRE,Elf November,nl
OPALE,Opale,fr
OPALE,Opaal,nl
OPPEM,Oppem,fr
OPPEM,Oppem,nl
OPPEMSTRAAT,Oppemstraat,fr
OPPEMSTRAAT,Oppemstraat,nl
OPTIMISME,Optimisme,fr
OPTIMISME,Optimisme,nl
ORBAN,Orban,fr
ORBAN,Orban,nl
OSSEGHEM,Osseghem,fr
OSSEGHEM,Ossegem,nl
OUD KAPELLEKE,Oud Kapelleke,fr
OUD KAPELLEKE,Oud Kapelleke,nl
OUTRE-PONTS,Outre-Ponts,fr
OUTRE-PONTS,Over de Bruggen,nl
PADDOCK,Paddock,fr
PADDOCK,Paddock,nl
PADUWA,Paduwa,fr
PADUWA,Paduwa,nl
PAGODES,Pagodes,fr
PAGODES,Pagoden,nl
PAIX,Paix,fr
PAIX,Vrede,nl
PALAIS,Palais,fr
PALAIS,Paleizen,nl
PALFIJN,Palfijn,fr
PALFIJN,Palfijn,nl
PAMPOEL,Pampoel,fr
PAMPOEL,Pampoel,nl
PANNENHUIS,Pannenhuis,fr
PANNENHUIS,Pannenhuis,nl
PAPENKASTEEL,Papenkasteel,fr
PAPENKASTEEL,Papenkasteel,nl
PARC,Parc,fr
PARC,Park,nl
PARC DES SOURCES,Parc des Sources,fr
PARC DES SOURCES,Bronnenpark,nl
PARC ELISABETH,Parc Élisabeth,fr
PARC ELISABETH,Elisabethpark,nl
PARC LEOPOLD,Parc Léopold,fr
PARC LEOPOLD,Leopoldspark,nl
PARC MALOU,Parc Malou,fr
PARC MALOU,Maloupark,nl
PARC MONNET,Parc Monnet,fr
PARC MONNET,Monnet-park,nl
PARC SENY,Parc Seny,fr
PARC SENY,Seny-park,nl
PARC VIVES,Parc Vivès,fr
PARC VIVES,Vivès-park,nl
PARKSTRAAT,Parkstraat,fr
PARKSTRAAT,Parkstraat,nl
PARVIS ST-GILLES,Parvis Saint-Gilles,fr
PARVIS ST-GILLES,Sint-Gillisvoorplein,nl
PASTEUR,Pasteur,fr
PASTEUR,Pasteur,nl
PATHE,Pathé,fr
PATHE,Pathé,nl
PATRIE,Patrie,fr
PATRIE,Vaderland,nl
PATTIJN,Pattijn,fr
PATTIJN,Pattijn,nl
PATTON,Patton,fr
PATTON,Patton,nl
PAUL LEDUC,Paul Leduc,fr
PAUL LEDUC,Paul Leduc,nl
PAULSEN,Paulsen,fr
PAULSEN,Paulsen,nl
PAVILLON,Pavillon,fr
PAVILLON,Paviljoen,nl
PAVILLONS MEUDON,Pavillons Meudon,fr
PAVILLONS MEUDON,Meudon-paviljoenen,nl
PEAGE,Péage,fr
PEAGE,Tol,nl
PECHERIES,Pêcheries,fr
PECHERIES,Visserij,nl
PELLENBERG,Pellenberg,fr
PELLENBERG,Pellenberg,nl
PENTATHLON,Pentathlon,fr
PENTATHLON,Pentathlon,nl
PERMEKE,Permeke,fr
PERMEKE,Permeke,nl
PETER BENOIT,Peter Benoit,fr
PETER BENOIT,Peter Benoit,nl
PETERBOS,Peterbos,fr
PETERBOS,Peterbos,nl
PETILLON,Pétillon,fr
PETILLON,Pétillon,nl
PETIT SABLON,Petit Sablon,fr
PETIT SABLON,Kleine Zavel,nl
PETITE ILE,Petite Île,fr
PETITE ILE,Klein Eiland,nl
PEUPLIERS,Peupliers,fr
PEUPLIERS,Populieren,nl
PEYO,Peyo,fr
PEYO,Peyo,nl
PICARD,Picard,fr
PICARD,Picard,nl
PICARDIE,Picardie,fr
PICARDIE,Picardie,nl
PLACE DE L'EGLISE,Place de l'Église,fr
PLACE DE L'EGLISE,Kerkplein,nl
PLACE R. ASTRID,Place Reine Astrid,fr
PLACE R. ASTRID,Koningin Astridplein,nl
PLACE SAINT-JOB,Place Saint-Job,fr
PLACE SAINT-JOB,Sint-Jobplein,nl
PLACE ST-PIERRE,Place Saint-Pierre,fr
PLACE ST-PIERRE,Sint-Pietersplein,nl
PLACE V. HORTA,Place Victor Horta,fr
PLACE V. HORTA,Victor Hortaplein,nl
PLAINE DES SPORTS,Plaine des Sports,fr
PLAINE DES SPORTS,Sportplein,nl
PLASKY,Plasky,fr
PLASKY,Plasky,nl
PLEIADES,Pléiades,fr
PLEIADES,Plejaden,nl
POELAERT,Poelaert,fr
POELAERT,Poelaert,nl
POGGE,Pogge,fr
POGGE,Pogge,nl
POLYCL. BRUGMANN,Polyclinique Brugmann,fr
POLYCL. BRUGMANN,Polikliniek Brugmann,nl
POMMIER,Pommier,fr
POMMIER,Appelboom,nl
PONT ALBERT,Pont Albert,fr
PONT ALBERT,Albertbrug,nl
PORTE DE FLANDRE,Porte de Flandre,fr
PORTE DE FLANDRE,Vlaamsepoort,nl
PORTE DE HAL,Porte de Hal,fr
PORTE DE HAL,Hallepoort,nl
PORTE DE NAMUR,Porte de Namur,fr
PORTE DE NAMUR,Naamsepoort,nl
PORTE DE NINOVE,Porte de Ninove,fr
PORTE DE NINOVE,Ninoofsepoort,nl
POUCHKINE,Pouchkine,fr
POUCHKINE,Poesjkin,nl
PRES COMMUNS,Prés Communs,fr
PRES COMMUNS,Gemenebeemden,nl
PRESSE,Presse,fr
PRESSE,Drukpers,nl
PRINC. CLEMENTINE,Princesse Clémentine,fr
PRINC. CLEMENTINE,Prinses Clementina,nl
PRINC. ELISABETH,Princesse Élisabeth,fr
PRINC. ELISABETH,Prinses Elisabeth,nl
PRINCE D'ORANGE,Prince d'Orange,fr
PRINCE D'ORANGE,Prins van Oranje,nl
PRINCE DE LIEGE,Prince de Liège,fr
PRINCE DE LIEGE,Prins van Luik,nl
PRINCE LEOPOLD,Prince Léopold,fr
PRINCE LEOPOLD,Prins Leopold,nl
PRISON,Prison,fr
PRISON,Gevangenis,nl
PTE D'ANDERLECHT,Porte d'Anderlecht,fr
PTE D'ANDERLECHT,Anderlechtsepoort,nl
QUAI 01,Quai 01,fr
QUAI 01,Quai 01,nl
QUART.ST-BONIFACE,Quartier Saint-Boniface,fr
QUART.ST-BONIFACE,Sint-Bonifaaswijk,nl
QUATRE BRAS,Quatre Bras,fr
QUATRE BRAS,Vier Armen,nl
QUATRE-VENTS,Quatre-Vents,fr
QUATRE-VENTS,Vier Winden,nl
QUETELET,Quetelet,fr
QUETELET,Quetelet,nl
RACING,Racing,fr
RACING,Racing,nl
RADIUM,Radium,fr
RADIUM,Radium,nl
RAEDEMAEKERS,Raedemaekers,fr
RAEDEMAEKERS,Raedemaekers,nl
RAMIER,Ramier,fr
RAMIER,Bosduif,nl
RAVENSTEIN,Ravenstein,fr
RAVENSTEIN,Ravenstein,nl
REINE ASTRID,Reine Astrid,fr
REINE ASTRID,Koningin Astrid,nl
RELAIS,Relais,fr
RELAIS,Pleisterplaats,nl
RENE GOBERT,René Gobert,fr
RENE GOBERT,René Gobert,nl
RENE HENRY,René Henry,fr
RENE HENRY,René Henry,nl
RENIERS,Reniers,fr
RENIERS,Reniers,nl
RESERVOIR,Réservoir,fr
RESERVOIR,Vergaarbak,nl
RESISTANCE,Résistance,fr
RESISTANCE,Verzet,nl
RIBAUCOURT,Ribaucourt,fr
RIBAUCOURT,Ribaucourt,nl
RIETHUISEN,Riethuisen,fr
RIETHUISEN,Riethuisen,nl
RING 0,Ring 0,fr
RING 0,Ring 0,nl
RITTWEGER,Rittweger,fr
RITTWEGER,Rittweger,nl
RIVE DROITE,Rive Droite,fr
RIVE DROITE,Rechteroever,nl
RIVE GAUCHE,Rive Gauche,fr
RIVE GAUCHE,Linkeroever,nl
ROBIANO,Robiano,fr
ROBIANO,Robiano,nl
ROCHEFORT,Rochefort,fr
ROCHEFORT,Rochefort,nl
RODIN,Rodin,fr
RODIN,Rodin,nl
RODTS,Rodts,fr
RODTS,Rodts,nl
ROFFIAEN,Roffiaen,fr
ROFFIAEN,Roffiaen,nl
ROGIER,Rogier,fr
ROGIER,Rogier,nl
ROI BAUDOUIN,Roi Baudouin,fr
ROI BAUDOUIN,Koning Boudewijn,nl
ROI VAINQUEUR,Roi Vainqueur,fr
ROI VAINQUEUR,Koning Overwinnaar,nl
RONCES,Ronces,fr
RONCES,Braamstruiken,nl
ROND-PT SOUVERAIN,Rond-point du Souverain,fr
ROND-PT SOUVERAIN,Vorstrondpunt,nl
ROODEBEEK,Roodebeek,fr
ROODEBEEK,Roodebeek,nl
ROODENBERG,Roodenberg,fr
ROODENBERG,Rodenberg,nl
ROOSENDAEL,Roosendael,fr
ROOSENDAEL,Roosendael,nl
ROUGE-CLOITRE,Rouge-Cloître,fr
ROUGE-CLOITRE,Roodklooster,nl
ROUPPE,Rouppe,fr
ROUPPE,Rouppe,nl
ROYALE,Royale,fr
ROYALE,Koning,nl
RTL HOUSE,RTL House,fr
RTL HOUSE,RTL House,nl
RUBENS,Rubens,fr
RUBENS,Rubens,nl
RUE AU BOIS,Rue au Bois,fr
RUE AU BOIS,Bosstraat,nl
RUE LONGUE,Rue Longue,fr
RUE LONGUE,Langestraat,nl
RUE TRAVERSIERE,Rue Traversière,fr
RUE TRAVERSIERE,Dwarsstraat,nl
RUISBROEK CENTRUM,Ruisbroek Centrum,fr
RUISBROEK CENTRUM,Ruisbroek Centrum,nl
RUISSEAU,Ruisseau,fr
RUISSEAU,Beek,nl
SABCA,SABCA,fr
SABCA,SABCA,nl
SACRE-COEUR,Sacré-Cœur,fr
SACRE-COEUR,Heilig Hart,nl
SAINCTELETTE,Sainctelette,fr
SAINCTELETTE,Sainctelette,nl
SAINT-ANTOINE,Saint-Antoine,fr
SAINT-ANTOINE,Sint-Antonius,nl
SAINT-DENIS,Saint-Denis,fr
SAINT-DENIS,Sint-Denijs,nl
SAINT-GERY,Saint-Géry,fr
SAINT-GERY,Sint-Gorik,nl
SAINT-GUIDON,Saint-Guidon,fr
SAINT-GUIDON,Sint-Guido,nl
SAINT-JOSSE,Saint-Josse,fr
SAINT-JOSSE,Sint-Joost,nl
SAINT-LOUIS,Saint-Louis,fr
SAINT-LOUIS,Saint-Louis,nl
SAINT-NICOLAS,Saint-Nicolas,fr
SAINT-NICOLAS,Sint Niklaas,nl
SAINT-VINCENT,Saint-Vincent,fr
SAINT-VINCENT,Sint-Vincentius,nl
SAINTE-ALIX,Sainte-Alix,fr
SAINTE-ALIX,Sint-Aleidis,nl
SAINTE-ALLIANCE,Sainte-Alliance,fr
SAINTE-ALLIANCE,Heilig Verbond,nl
SAINTE-ANNE,Sainte-Anne,fr
SAINTE-ANNE,Sint-Anna,nl
SAINTE-CATHERINE,Sainte-Catherine,fr
SAINTE-CATHERINE,Sint-Katelijne,nl
SAINTE-FAMILLE,Sainte-Famille,fr
SAINTE-FAMILLE,Heilige Familie,nl
SAINTE-MARIE,Sainte-Marie,fr
SAINTE-MARIE,Sint-Maria,nl
SAO,SAO,fr
SAO,DOO,nl
SAVONNERIE,Savonnerie,fr
SAVONNERIE,Zeepziederij,nl
SCHAERBEEK GARE,Schaerbeek Gare,fr
SCHAERBEEK GARE,Schaarbeek Station,nl
SCHERDEMAEL,Scherdemael,fr
SCHERDEMAEL,Scherdemaal,nl
SCHOLA EUROPEA,Schola Europea,fr
SCHOLA EUROPEA,Schola Europea,nl
SCHOONEJANS,Schoonejans,fr
SCHOONEJANS,Schoonejans,nl
SCHUMAN,Schuman,fr
SCHUMAN,Schuman,nl
SCHWEITZER,Schweitzer,fr
SCHWEITZER,Schweitzer,nl
SCIENCE,Science,fr
SCIENCE,Wetenschap,nl
SEPT ETOILES,Sept Étoiles,fr
SEPT ETOILES,Zeven Sterren,nl
SERRES ROYALES,Serres Royales,fr
SERRES ROYALES,Koninklijke Serres,nl
SIBELIUS,Sibelius,fr
SIBELIUS,Sibelius,nl
SIMONIS,Simonis,fr
SIMONIS,Simonis,nl
SIMONIS TERMINUS,Simonis,fr
SIMONIS TERMINUS,Simonis,nl
SIMPSON,Simpson,fr
SIMPSON,Simpson,nl
SIPPELBERG,Sippelberg,fr
SIPPELBERG,Sippelberg,nl
SLEGERS,Slegers,fr
SLEGERS,Slegers,nl
SOBIESKI,Sobieski,fr
SOBIESKI,Sobieski,nl
SOLBOSCH,Solbosch,fr
SOLBOSCH,Solbos,nl
SORENSEN,Sorensen,fr
SORENSEN,Sorensen,nl
SPEECKAERT,Speeckaert,fr
SPEECKAERT,Speeckaert,nl
SPORTCENTRUM,Sportcentrum,fr
SPORTCENTRUM,Sportcentrum,nl
SPORTCOMPLEX,Sportcomplex,fr
SPORTCOMPLEX,Sportcomplex,nl
SQ. DU CENTENAIRE,Square du Centenaire,fr
SQ. DU CENTENAIRE,Eeuwfeestsquare,nl
STADE,Stade,fr
STADE,Stadion,nl
STADE FALLON,Stade Fallon,fr
STADE FALLON,Fallon Stadion,nl
STALLAERT,Stallaert,fr
STALLAERT,Stallaert,nl
STALLE (P),Stalle (P),fr
STALLE (P),Stalle (P),nl
STATUAIRES,Statuaires,fr
STATUAIRES,Beeldhouwers,nl
STEPHANIE,Stéphanie,fr
STEPHANIE,Stefania,nl
STEPHENSON,Stephenson,fr
STEPHENSON,Stephenson,nl
STEURS,Steurs,fr
STEURS,Steurs,nl
STIENON,Stiénon,fr
STIENON,Stiénon,nl
STIJN STREUVELS,Stijn Streuvels,fr
STIJN STREUVELS,Stijn Streuvels,nl
STOCKEL,Stockel,fr
STOCKEL,Stokkel,nl
